ALLOT_NAME,ALLOT_NO,BLMDATA,GIS_ACRES,ADMIN_ST,ADM_OFC_CD,ADM_UNIT_C,ST_ALLOT,GlobalID,SHAPE_Leng,SHAPE_Area,FID,OBJECTID
Poison Creek,603,1,5292.52339,ID,B03000,IDB03000,ID00603,{E77D7624-709B-4728-A259-D83E7B562D49},21587.05971,21418167.34,1966,280673
E Juniper Draw,1132,1,24041.3167,ID,T01000,IDT01000,ID01132,{0884051C-6E55-4E6D-98AD-F1450C637B62},65342.72657,97292143.31,1969,280676
Devil Creek Balanced Rock,1133,1,38982.18059,ID,T01000,IDT01000,ID01133,{D0444B6C-5FCB-4C96-9B3F-DB85FA66C1EB},104115.997,157755914.5,1970,280677
S Crows Nest,1135,1,11071.71164,ID,T01000,IDT01000,ID01135,{68E685B5-54A0-4ECB-8936-9CFEC59AB8EE},27241.59807,44805805.3,1971,280678
Horse Butte AMP,1120,1,23112.9138,ID,T01000,IDT01000,ID01120,{D52E2004-81FF-41B2-B29F-D50BB97E7EA1},41964.83938,93535015.17,1972,280679
Upper Pahsimeroi,4517,1,39523.27566,ID,I03000,IDI03000,ID04517,{3CC946B5-70B1-4381-8681-FC3A61841330},111645.219,159945657.2,2035,280742
Goldburg,4515,1,10275.54057,ID,I03000,IDI03000,ID04515,{5BBDE513-616B-40B5-BC77-F80382664A67},40067.44454,41583802.53,2037,280744
Sheep Creek Common,6,0,15200.91274,ID,B01000,IDB01000,ID00006,{4F4A15F9-5BE1-41CC-8C44-44BB71A6915B},50780.28983,61516155.68,0,278707
Butte Ranch,9,0,1915.959471,ID,B01000,IDB01000,ID00009,{3DC6EFA2-BBC0-44F3-B76E-EB25092462C6},23411.9276,7753643.687,1,278708
Chacartegui,10,0,5407.256391,ID,B01000,IDB01000,ID00010,{C5502B58-D9D1-4DED-B15B-EF68555BDF4A},27558.26204,21882477.17,2,278709
Round Valley,11,0,17.08445521,ID,B01000,IDB01000,ID00011,{64FB5585-7CF7-4C3F-9642-FD41729F0FD5},1071.033591,69138.61189,3,278710
Armacost Individual,12,0,1446.612238,ID,B01000,IDB01000,ID00012,{0542EC4F-B7C2-43F9-9188-CEC6D3A47411},14420.79659,5854255.277,4,278711
Lower,14,0,991.3649926,ID,B01000,IDB01000,ID00014,{2BB5C595-6152-416B-985B-F8F5683A8971},10131.37422,4011927.722,5,278712
